case,field,type,status,computed,reference,diff
CalculateUACoeffs.0.0.1,colcd,scalar,IDENTICAL,2,2,
CalculateUACoeffs.0.0.1,colcl,scalar,IDENTICAL,1,1,
CalculateUACoeffs.0.0.1,colcm,scalar,IDENTICAL,3,3,
CalculateUACoeffs.0.0.1,colcpmin,scalar,IDENTICAL,0,0,
CalculateUACoeffs.0.0.1,coluaf,scalar,IDENTICAL,4,4,
CalculateUACoeffs.0.0.1,aftabmod,scalar,IDENTICAL,1,1,
CalculateUACoeffs.0.0.1,interpord,scalar,IDENTICAL,1,1,
CalculateUACoeffs.0.0.1,relthickness,scalar,IDENTICAL,-1.0000000000000000,-1.0000000000000000,
CalculateUACoeffs.0.0.1,nondimarea,scalar,IDENTICAL,1.0000000000000000,1.0000000000000000,
CalculateUACoeffs.0.0.1,numcoords,scalar,IDENTICAL,201,201,
CalculateUACoeffs.0.0.1,x_coord,array,IDENTICAL,,,size=         201
CalculateUACoeffs.0.0.1,y_coord,array,IDENTICAL,,,size=         201
CalculateUACoeffs.0.0.1,numtabs,scalar,IDENTICAL,1,1,
CalculateUACoeffs.0.0.1,alpha,array,IDENTICAL,,,size=         200
CalculateUACoeffs.0.0.1,coefs,array,IN_TOL,,,n_diff=         183 rms=   9.6510086956103848E-017
CalculateUACoeffs.0.0.1,userprop,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
CalculateUACoeffs.0.0.1,re,scalar,IDENTICAL,1627863.0000000000,1627863.0000000000,
CalculateUACoeffs.0.0.1,numalf,scalar,IDENTICAL,200,200,
CalculateUACoeffs.0.0.1,constdata,scalar,IDENTICAL,F,F,
CalculateUACoeffs.0.0.1,incluadata,scalar,IDENTICAL,T,T,
CalculateUACoeffs.0.0.1,alpha0,scalar,IDENTICAL,3.6808138713226926E-002,3.6808138713226926E-002,
CalculateUACoeffs.0.0.1,alpha1,scalar,IDENTICAL,0.12164416051637122,0.12164416051637122,
CalculateUACoeffs.0.0.1,alpha2,scalar,IDENTICAL,-0.12164416051637122,-0.12164416051637122,
CalculateUACoeffs.0.0.1,eta_e,scalar,IDENTICAL,1.0000000000000000,1.0000000000000000,
CalculateUACoeffs.0.0.1,c_nalpha,scalar,IDENTICAL,0.56099200000000005,0.56099200000000005,
CalculateUACoeffs.0.0.1,c_lalpha,scalar,IDENTICAL,0.37363000000000002,0.37363000000000002,
CalculateUACoeffs.0.0.1,t_f0,scalar,IDENTICAL,3.0000000000000000,3.0000000000000000,
CalculateUACoeffs.0.0.1,t_v0,scalar,IDENTICAL,6.0000000000000000,6.0000000000000000,
CalculateUACoeffs.0.0.1,t_p,scalar,IDENTICAL,1.7000000000000000,1.7000000000000000,
CalculateUACoeffs.0.0.1,t_vl,scalar,IDENTICAL,11.000000000000000,11.000000000000000,
CalculateUACoeffs.0.0.1,b1,scalar,IDENTICAL,0.14000000000000001,0.14000000000000001,
CalculateUACoeffs.0.0.1,b2,scalar,IDENTICAL,0.53000000000000003,0.53000000000000003,
CalculateUACoeffs.0.0.1,b5,scalar,IDENTICAL,5.0000000000000000,5.0000000000000000,
CalculateUACoeffs.0.0.1,a1,scalar,IDENTICAL,0.29999999999999999,0.29999999999999999,
CalculateUACoeffs.0.0.1,a2,scalar,IDENTICAL,0.69999999999999996,0.69999999999999996,
CalculateUACoeffs.0.0.1,a5,scalar,IDENTICAL,1.0000000000000000,1.0000000000000000,
CalculateUACoeffs.0.0.1,s1,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
CalculateUACoeffs.0.0.1,s2,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
